FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,STATE,COUNTY,NAME_E,TOT_POP,COLL_AGE,YNG_PROF,SENIOR,MED_AGE,R_WHITE,NON_WH,R_BLACK,R_NAT_A,R_ASIAN,R_PACIF,R_OTHER,R_2,R_2INCO,R_2_EXCO,TOT_WKRS,T0_9,T10_14,T15_19,T20_24,T25_29,T30_34,T35_44,T45_59,T60,DR_ALONE,CARPOOL,TRANSIT,TR0_9,TR10_14,TR15_19,TR20_24,TR25_29,TR30_34,TR35_44,TR45_59,TR60,WALK,TOT_HSHD,MED_INC,TPOP18,TOT_DIS,OC_UNITS,ZERO_VEH,Lat,Long,TOWN,Neighborhood,Place_Label,Town
494,25,25,140400,5,2.50251E+11,Block Group 5,G5030,S,270015,0,42.2702138,-71.1078263,G25002501404005,2495.368398,270015.6876,G25002501404005,Massachusetts,Suffolk County,"Block Group 5, Census Tract 1404, Suffolk County, Massachusetts",1927,19,413,237,41.3,9,1960,1876,0,0,0,0,42,0,42,855,0,0,87,231,36,240,44,83,134,566,109,180,0,0,0,15,0,18,0,41,106,0,578,77351,1510,75,578,45,42.27021385,42.27021385,BOSTON,Hyde Park,Hyde Park,Boston
495,25,25,140400,6,2.50251E+11,Block Group 6,G5030,S,694806,0,42.2720454,-71.1148547,G25002501404006,3791.404228,694805.4056,G25002501404006,Massachusetts,Suffolk County,"Block Group 6, Census Tract 1404, Suffolk County, Massachusetts",1711,207,238,185,29,350,1361,1227,10,10,0,114,0,0,0,661,0,53,107,38,19,277,65,26,76,447,15,124,0,0,0,0,13,0,52,0,59,58,532,63971,1283,139,532,76,42.27204544,42.27204544,BOSTON,Hyde Park,Hyde Park,Boston
496,25,25,140400,7,2.50251E+11,Block Group 7,G5030,S,254564,0,42.2737843,-71.1205454,G25002501404007,2771.952839,254564.7239,G25002501404007,Massachusetts,Suffolk County,"Block Group 7, Census Tract 1404, Suffolk County, Massachusetts",1012,76,114,116,40.2,299,713,293,0,18,0,402,0,0,0,399,32,40,42,57,0,11,59,114,44,124,106,147,0,0,0,57,0,11,35,0,44,22,414,68026,769,112,414,47,42.27378433,42.27378433,BOSTON,Hyde Park,Hyde Park,Boston
497,25,25,160101,2,2.50252E+11,Block Group 2,G5030,S,110817,0,42.3912095,-71.0284134,G25002501601012,2048.531204,110816.52,G25002501601012,Massachusetts,Suffolk County,"Block Group 2, Census Tract 1601.01, Suffolk County, Massachusetts",2323,179,703,274,29.6,1121,2131,109,0,0,0,164,929,0,929,1167,91,119,138,164,15,152,232,56,200,416,287,337,0,0,0,0,15,52,26,56,188,123,570,65484,1813,255,570,123,42.39120943,42.39120943,CHELSEA,,Chelsea,Chelsea
498,25,25,160200,1,2.50252E+11,Block Group 1,G5030,S,60967,0,42.3915343,-71.0340231,G25002501602001,1194.25404,60966.15864,G25002501602001,Massachusetts,Suffolk County,"Block Group 1, Census Tract 1602, Suffolk County, Massachusetts",1590,114,342,71,29,605,1739,17,0,64,0,150,754,0,754,667,25,53,163,9,14,48,25,92,238,170,155,310,0,0,94,0,0,15,12,76,113,32,388,51563,1124,114,388,205,42.39153429,42.39153429,CHELSEA,,Chelsea,Chelsea
499,25,25,160200,3,2.50252E+11,Block Group 3,G5030,S,104125,0,42.3885565,-71.0367828,G25002501602003,1449.41562,104123.0681,G25002501602003,Massachusetts,Suffolk County,"Block Group 3, Census Tract 1602, Suffolk County, Massachusetts",1148,52,283,18,31.5,395,1402,87,0,17,0,0,649,0,649,731,173,80,116,40,36,78,22,63,123,183,166,234,0,26,32,23,0,19,0,45,89,136,285,54258,862,43,285,89,42.38855646,42.38855646,CHELSEA,,Chelsea,Chelsea
500,25,25,160300,2,2.50252E+11,Block Group 2,G5030,S,185187,135442,42.386288,-71.044122,G25002501603002,3642.231146,185186.5597,G25002501603002,Massachusetts,Suffolk County,"Block Group 2, Census Tract 1603, Suffolk County, Massachusetts",450,0,161,16,33.1,241,290,71,0,39,0,18,81,0,81,223,42,10,9,24,58,25,14,18,23,107,38,31,0,0,0,5,16,0,0,10,0,22,207,61875,371,60,207,32,42.38705794,42.38705794,CHELSEA,,Chelsea,Chelsea
501,25,25,160300,1,2.50252E+11,Block Group 1,G5030,S,381880,158723,42.3892658,-71.049358,G25002501603001,3020.978809,381880.1762,G25002501603001,Massachusetts,Suffolk County,"Block Group 1, Census Tract 1603, Suffolk County, Massachusetts",1905,0,518,523,45.1,1377,773,154,0,61,0,68,245,20,225,935,113,74,87,162,73,165,129,62,70,690,89,127,0,0,0,40,0,48,5,7,27,20,1106,60957,1649,307,1106,289,42.38953573,42.38953573,CHELSEA,,Chelsea,Chelsea
502,25,25,160400,1,2.50252E+11,Block Group 1,G5030,S,1145260,3542,42.395316,-71.042496,G25002501604001,5897.017352,1145261.645,G25002501604001,Massachusetts,Suffolk County,"Block Group 1, Census Tract 1604, Suffolk County, Massachusetts",995,56,230,49,34.4,478,811,36,14,80,0,93,294,0,294,527,146,16,65,99,19,92,21,22,47,148,59,142,0,0,0,26,0,80,4,6,26,161,334,33707,765,154,334,137,42.39583954,42.39583954,CHELSEA,,Chelsea,Chelsea
503,25,25,160400,2,2.50252E+11,Block Group 2,G5030,S,148824,0,42.392321,-71.0363388,G25002501604002,2465.902782,148824.5653,G25002501604002,Massachusetts,Suffolk County,"Block Group 2, Census Tract 1604, Suffolk County, Massachusetts",1843,98,470,104,32.4,745,1746,268,13,4,0,165,648,0,648,846,184,40,131,115,11,179,21,28,137,298,56,281,0,0,21,14,0,86,12,21,127,202,607,39391,1367,284,607,380,42.39232098,42.39232098,CHELSEA,,Chelsea,Chelsea
504,25,21,413200,1,2.50214E+11,Block Group 1,G5030,S,709799,2972,42.209189,-71.1910023,G25002104132001,3800.355227,712772.0727,G25002104132001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4132, Norfolk County, Massachusetts",1215,92,28,445,50.8,1164,71,7,0,24,0,0,20,0,20,511,254,40,50,59,0,20,10,14,64,433,16,55,0,0,0,0,0,17,0,0,38,7,445,51406,854,165,445,95,42.208887,42.208887,NORWOOD,,Norwood,Norwood
505,25,21,456200,1,2.50215E+11,Block Group 1,G5030,S,5601842,31355,42.1465762,-71.0736122,G25002104562001,10607.34389,5633191.718,G25002104562001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4562, Norfolk County, Massachusetts",1319,81,236,128,37.6,791,574,343,0,16,0,123,46,37,9,786,80,71,71,20,56,106,34,102,246,596,135,43,9,0,0,0,0,0,9,8,17,12,521,78831,1050,63,521,22,42.14840191,42.14840191,STOUGHTON,,Stoughton,Stoughton
506,25,21,456200,2,2.50215E+11,Block Group 2,G5030,S,3271476,34146,42.1392425,-71.0884562,G25002104562002,10979.5255,3305625.807,G25002104562002,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4562, Norfolk County, Massachusetts",1990,95,298,409,47.8,1545,532,276,0,82,0,0,87,9,78,999,127,68,55,75,39,313,53,143,126,851,93,46,0,0,11,0,0,0,0,18,17,0,692,86471,1657,212,692,25,42.13752031,42.13752031,STOUGHTON,,Stoughton,Stoughton
507,25,17,352900,1,2.50174E+11,Block Group 1,G5030,S,118221,0,42.3717052,-71.1010098,G25001703529001,1458.661719,118220.4243,G25001703529001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3529, Middlesex County, Massachusetts",974,27,255,167,38,644,463,66,0,118,13,0,133,0,133,478,39,107,104,103,16,24,11,55,19,187,0,33,0,0,0,6,0,0,0,27,0,140,508,61471,789,92,508,151,42.37170523,42.37170523,CAMBRIDGE,Mid-Cambridge,Mid-Cambridge,Cambridge
508,25,17,351403,1,2.50174E+11,Block Group 1,G5030,S,81888,0,42.3860897,-71.0795242,G25001703514031,1223.327452,81887.5145,G25001703514031,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3514.03, Middlesex County, Massachusetts",475,71,139,32,27.8,334,203,0,0,42,0,37,62,18,44,331,120,8,44,34,0,65,44,16,0,144,1,126,23,0,20,17,0,43,17,6,0,60,211,64276,384,19,211,34,42.38608975,42.38608975,SOMERVILLE,East Somerville,East Somerville,Somerville
509,25,17,359300,4,2.50174E+11,Block Group 4,G5030,S,9850262,277243,42.508539,-71.2942871,G25001703593004,18466.21492,10127504.84,G25001703593004,Massachusetts,Middlesex County,"Block Group 4, Census Tract 3593, Middlesex County, Massachusetts",2448,79,233,423,46.2,2129,377,1,0,260,0,0,58,0,58,1106,160,38,247,100,56,238,89,102,76,932,88,58,0,0,0,0,0,0,0,9,49,19,1016,135577,1955,105,1016,39,42.50528159,42.50528159,BEDFORD,,Bedford,Bedford
510,25,17,318200,1,2.50173E+11,Block Group 1,G5030,S,14924548,377030,42.6053707,-71.471707,G25001703182001,18708.27757,15301579.65,G25001703182001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3182, Middlesex County, Massachusetts",2697,112,292,174,38,2182,543,11,0,406,0,70,28,0,28,1379,144,178,146,135,127,228,136,136,149,1216,82,45,8,0,0,0,0,0,0,0,37,26,894,121974,1899,89,894,0,42.60546759,42.60546759,WESTFORD,,Westford,Westford
511,25,17,356300,4,2.50174E+11,Block Group 4,G5030,S,95579,0,42.4134935,-71.1415114,G25001703563004,1452.63929,95579.36413,G25001703563004,Massachusetts,Middlesex County,"Block Group 4, Census Tract 3563, Middlesex County, Massachusetts",897,24,510,63,28.3,827,70,70,0,0,0,0,0,0,0,624,18,15,107,124,29,141,109,70,11,546,11,37,0,0,0,0,0,0,0,37,0,15,308,80900,803,74,308,0,42.41349354,42.41349354,ARLINGTON,,Arlington,Arlington
512,25,17,336100,3,2.50173E+11,Block Group 3,G5030,S,283849,0,42.4604789,-71.0749222,G25001703361003,2445.499379,283849.2719,G25001703361003,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3361, Middlesex County, Massachusetts",946,51,122,123,39.9,770,205,82,0,65,0,0,29,0,29,594,33,137,29,30,29,91,65,130,50,355,45,178,0,0,13,0,0,0,30,85,50,0,292,101923,720,32,292,0,42.46047891,42.46047891,MELROSE,,Melrose,Melrose
513,25,17,382100,5,2.50174E+11,Block Group 5,G5030,S,786745,1392,42.3050212,-71.3570685,G25001703821005,3517.448134,788136.868,G25001703821005,Massachusetts,Middlesex County,"Block Group 5, Census Tract 3821, Middlesex County, Massachusetts",1033,36,63,376,55.3,892,152,35,0,95,0,0,11,0,11,377,64,59,38,13,8,94,30,31,40,309,18,40,0,0,0,0,0,0,0,0,40,10,412,101667,795,208,412,129,42.30521948,42.30521948,NATICK,,Natick,Natick
514,25,17,312100,2,2.50173E+11,Block Group 2,G5030,S,136992,0,42.6283341,-71.3017869,G25001703121002,1929.135638,136991.9879,G25001703121002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3121, Middlesex County, Massachusetts",745,27,154,59,35.7,463,286,36,0,119,0,123,4,0,4,363,34,50,78,38,38,40,55,25,5,301,49,0,0,0,0,0,0,0,0,0,0,13,292,47692,590,143,292,9,42.62833413,42.62833413,LOWELL,,Lowell,Lowell
515,25,17,318200,2,2.50173E+11,Block Group 2,G5030,S,1916255,561682,42.5795308,-71.4792863,G25001703182002,13879.03207,2477937.495,G25001703182002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3182, Middlesex County, Massachusetts",1316,29,209,136,40,1151,186,16,0,128,0,0,21,0,21,681,96,40,59,93,32,93,58,147,63,548,74,0,0,0,0,0,0,0,0,0,0,8,518,95093,968,152,518,0,42.58079511,42.58079511,WESTFORD,,Westford,Westford
516,25,17,318300,2,2.50173E+11,Block Group 2,G5030,S,7897270,50707,42.5752707,-71.4461646,G25001703183002,14544.44677,7947974.086,G25001703183002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3183, Middlesex County, Massachusetts",2512,50,152,493,48.8,2182,362,18,0,280,0,0,32,0,32,1165,87,118,95,180,180,58,157,188,102,1085,38,14,0,0,14,0,0,0,0,0,0,12,948,130714,1823,168,948,0,42.57735815,42.57735815,WESTFORD,,Westford,Westford
517,25,17,368300,5,2.50174E+11,Block Group 5,G5030,S,208018,0,42.3748069,-71.2463782,G25001703683005,1918.283977,208018.238,G25001703683005,Massachusetts,Middlesex County,"Block Group 5, Census Tract 3683, Middlesex County, Massachusetts",1089,9,410,37,35.5,886,226,0,0,112,0,68,23,0,23,668,42,150,51,168,0,194,44,8,11,565,0,35,0,0,0,0,0,24,0,0,11,68,439,83058,994,227,439,162,42.37480688,42.37480688,WALTHAM,,Waltham,Waltham
518,25,17,350600,3,2.50174E+11,Block Group 3,G5030,S,95995,0,42.407941,-71.1244929,G25001703506003,1457.106046,95995.50796,G25001703506003,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3506, Middlesex County, Massachusetts",622,291,224,34,22.5,413,244,3,0,171,0,0,35,0,35,327,48,51,75,26,0,35,23,7,62,132,24,19,0,0,0,0,0,0,0,0,19,130,194,104079,365,0,194,16,42.40794102,42.40794102,SOMERVILLE,West Somerville,West Somerville,Somerville
519,25,17,341800,6,2.50173E+11,Block Group 6,G5030,S,150857,0,42.4251921,-71.0546689,G25001703418006,1734.628409,150857.3106,G25001703418006,Massachusetts,Middlesex County,"Block Group 6, Census Tract 3418, Middlesex County, Massachusetts",602,24,149,154,36.5,356,246,101,0,145,0,0,0,0,0,207,35,12,0,30,23,28,53,0,26,95,32,56,0,0,0,0,0,0,38,0,18,12,288,26111,499,104,288,74,42.42519207,42.42519207,MALDEN,,Malden,Malden
520,25,17,341700,1,2.50173E+11,Block Group 1,G5030,S,276410,0,42.4403018,-71.0454141,G25001703417001,2261.376151,276411.1456,G25001703417001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3417, Middlesex County, Massachusetts",458,20,98,0,35.6,335,123,0,0,59,0,64,0,0,0,343,6,0,29,19,10,67,64,41,107,239,22,82,0,0,0,0,0,0,0,19,63,0,159,115614,359,61,159,0,42.44030186,42.44030186,MALDEN,,Malden,Malden
521,25,17,316201,1,2.50173E+11,Block Group 1,G5030,S,1756672,49804,42.5410649,-71.2281899,G25001703162011,8794.368399,1806471.768,G25001703162011,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3162.01, Middlesex County, Massachusetts",1215,67,193,93,38.2,1136,79,0,0,79,0,0,0,0,0,590,12,59,48,47,26,189,123,28,58,554,26,10,0,0,0,0,0,0,0,10,0,0,376,119630,906,92,376,0,42.54705994,42.54705994,BILLERICA,,Billerica,Billerica
522,25,17,328100,1,2.50173E+11,Block Group 1,G5030,S,25624543,497350,42.6812878,-71.5180867,G25001703281001,23270.23278,26121893.33,G25001703281001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3281, Middlesex County, Massachusetts",1999,93,163,212,45.2,1915,104,0,0,54,0,10,20,0,20,1012,68,86,93,193,95,76,112,171,118,934,53,7,0,0,0,0,0,0,0,7,0,5,653,129205,1466,107,653,0,42.67733178,42.67733178,DUNSTABLE,,Dunstable,Dunstable
523,25,17,354600,2,2.50174E+11,Block Group 2,G5030,S,106867,0,42.3843738,-71.1326403,G25001703546002,1413.274593,106865.9099,G25001703546002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3546, Middlesex County, Massachusetts",909,0,81,69,35.6,869,41,0,0,20,0,19,1,0,1,377,56,20,32,51,3,77,52,86,0,125,31,152,0,0,0,0,0,51,52,49,0,69,361,182664,578,18,361,70,42.38437381,42.38437381,CAMBRIDGE,Neighborhood Nine,Neighborhood Nine,Cambridge
524,25,17,363201,2,2.50174E+11,Block Group 2,G5030,S,1537896,7055,42.4683786,-71.4893754,G25001703632012,4961.522267,1544948.348,G25001703632012,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3632.01, Middlesex County, Massachusetts",1531,76,66,125,40.1,1096,435,0,0,435,0,0,0,0,0,801,43,42,39,22,76,110,200,128,141,729,32,40,0,0,0,0,0,0,0,18,22,0,488,194196,1085,85,488,0,42.46668282,42.46668282,ACTON,,Acton,Acton
525,25,17,311900,2,2.50173E+11,Block Group 2,G5030,S,295129,0,42.6375155,-71.3117762,G25001703119002,2331.881176,295129.4066,G25001703119002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3119, Middlesex County, Massachusetts",918,13,163,196,55.2,595,339,29,0,179,0,99,16,0,16,275,45,8,54,6,41,47,11,54,9,184,8,60,0,0,0,0,41,0,0,19,0,23,623,17760,875,375,623,290,42.63751551,42.63751551,LOWELL,,Lowell,Lowell
526,25,17,312000,2,2.50173E+11,Block Group 2,G5030,S,209384,5845,42.6344133,-71.3085601,G25001703120002,2695.92822,215230.4441,G25001703120002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3120, Middlesex County, Massachusetts",1692,123,293,123,33.4,754,978,77,9,318,0,494,40,9,31,612,59,110,123,84,31,94,71,9,31,289,197,43,0,0,0,12,0,0,0,0,31,41,498,47885,1186,159,498,175,42.63403532,42.63403532,LOWELL,,Lowell,Lowell
527,25,17,312100,1,2.50173E+11,Block Group 1,G5030,S,193979,44996,42.6312326,-71.3001272,G25001703121001,3010.385155,238976.0196,G25001703121001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3121, Middlesex County, Massachusetts",1002,29,245,124,32.5,310,820,81,0,319,0,164,128,36,92,413,28,22,109,42,65,66,13,47,21,335,48,11,0,0,0,0,0,0,0,0,11,0,451,43150,740,158,451,118,42.63094121,42.63094121,LOWELL,,Lowell,Lowell
528,25,17,312100,3,2.50173E+11,Block Group 3,G5030,S,339307,5099,42.6304423,-71.3047398,G25001703121003,3286.390383,344406.4517,G25001703121003,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3121, Middlesex County, Massachusetts",981,7,269,87,34.5,545,535,35,0,195,0,107,99,0,99,461,20,27,158,26,40,36,100,22,32,343,75,13,0,0,0,0,0,0,0,0,13,30,414,48400,741,138,414,13,42.63036096,42.63036096,LOWELL,,Lowell,Lowell
529,25,17,312200,1,2.50173E+11,Block Group 1,G5030,S,841949,58924,42.6214659,-71.300953,G25001703122001,5459.660735,900870.4863,G25001703122001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3122, Middlesex County, Massachusetts",1499,55,378,143,34,851,803,224,0,153,0,116,155,66,89,733,65,56,195,130,58,134,32,57,6,627,87,6,0,0,0,0,0,0,0,0,6,13,659,58507,1149,138,659,69,42.6213164,42.6213164,LOWELL,,Lowell,Lowell
530,25,17,312200,2,2.50173E+11,Block Group 2,G5030,S,668730,0,42.6197269,-71.3067715,G25001703122002,4475.993703,668730.7534,G25001703122002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3122, Middlesex County, Massachusetts",1388,75,411,96,27.2,358,1062,170,0,667,0,161,32,32,0,654,51,27,188,147,16,141,69,15,0,478,137,0,0,0,0,0,0,0,0,0,0,13,371,56691,999,108,371,68,42.61972703,42.61972703,LOWELL,,Lowell,Lowell
531,25,17,312200,3,2.50173E+11,Block Group 3,G5030,S,384340,8911,42.6296379,-71.3111776,G25001703122003,2668.048498,393253.471,G25001703122003,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3122, Middlesex County, Massachusetts",764,21,247,53,26.6,437,343,32,0,5,0,274,16,0,16,346,45,89,16,56,12,93,0,29,6,328,12,6,0,0,0,0,0,0,0,6,0,0,256,61944,520,60,256,5,42.62844295,42.62844295,LOWELL,,Lowell,Lowell
532,25,17,312300,1,2.50173E+11,Block Group 1,G5030,S,791730,21777,42.6179007,-71.2858276,G25001703123001,4884.100249,813509.4503,G25001703123001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3123, Middlesex County, Massachusetts",1001,22,285,75,38.4,687,374,0,0,47,0,207,60,21,39,517,87,46,57,105,28,103,36,43,12,445,57,14,0,0,0,14,0,0,0,0,0,1,461,52882,835,85,461,64,42.61789129,42.61789129,LOWELL,,Lowell,Lowell
533,25,17,312300,2,2.50173E+11,Block Group 2,G5030,S,520009,35004,42.6216982,-71.2906067,G25001703123002,3632.75893,555012.2076,G25001703123002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3123, Middlesex County, Massachusetts",1461,80,423,175,37.6,764,740,0,0,654,0,0,43,34,9,936,103,26,119,56,168,231,26,175,32,654,266,16,0,0,0,0,0,16,0,0,0,0,584,66108,1338,151,584,15,42.62102885,42.62102885,LOWELL,,Lowell,Lowell
534,25,17,331200,2,2.50173E+11,Block Group 2,G5030,S,4047698,9767,42.5773396,-71.1760965,G25001703312002,10199.5633,4057463.296,G25001703312002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3312, Middlesex County, Massachusetts",2640,97,396,390,42.3,2362,329,15,0,212,0,0,51,9,42,1365,60,160,143,250,148,298,157,82,67,1267,44,39,0,0,0,0,0,0,0,0,39,0,947,82917,2046,183,947,72,42.57710763,42.57710763,WILMINGTON,,Wilmington,Wilmington
535,25,17,383400,1,2.50174E+11,Block Group 1,G5030,S,461118,0,42.2871429,-71.4045626,G25001703834001,3276.86207,461121.2915,G25001703834001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3834, Middlesex County, Massachusetts",1666,51,286,183,37.2,1151,671,248,0,111,0,0,156,156,0,972,155,83,102,78,78,271,113,23,69,764,149,46,0,0,0,0,0,0,18,13,15,13,678,58786,1268,77,678,30,42.28714294,42.28714294,FRAMINGHAM,,Framingham,Framingham
536,25,21,401100,3,2.50214E+11,Block Group 3,G5030,S,684928,8985,42.330681,-71.1478985,G25002104011003,3620.922363,693912.3874,G25002104011003,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4011, Norfolk County, Massachusetts",1587,28,389,101,35.7,1363,237,0,0,169,0,42,13,13,0,918,40,127,240,20,94,87,70,124,116,493,59,158,0,0,0,0,23,30,8,70,27,160,558,131163,1223,31,558,0,42.33039478,42.33039478,BROOKLINE,,Brookline,Brookline
537,25,21,411200,4,2.50214E+11,Block Group 4,G5030,S,925261,32432,42.1607963,-71.2151839,G25002104112004,4477.285971,957690.9341,G25002104112004,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4112, Norfolk County, Massachusetts",981,0,164,139,45.6,966,30,0,0,0,0,0,15,0,15,498,158,133,0,41,10,0,51,49,56,349,96,42,0,0,0,0,0,0,0,31,11,11,460,61951,757,49,460,25,42.15915682,42.15915682,WALPOLE,,Walpole,Walpole
538,25,17,352600,1,2.50174E+11,Block Group 1,G5030,S,110147,0,42.3696921,-71.0897956,G25001703526001,1497.937318,110148.0866,G25001703526001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3526, Middlesex County, Massachusetts",1789,44,909,215,29.7,1163,744,219,0,277,0,12,118,75,43,1163,145,109,163,226,174,187,36,43,80,414,134,279,0,0,0,11,51,118,32,20,47,221,671,62131,1610,99,671,146,42.36969216,42.36969216,CAMBRIDGE,Wellington-Harrington,Wellington-Harrington,Cambridge
539,25,17,365100,4,2.50174E+11,Block Group 4,G5030,S,15060384,236052,42.4008258,-71.3896887,G25001703651004,20243.51792,15296441.4,G25001703651004,Massachusetts,Middlesex County,"Block Group 4, Census Tract 3651, Middlesex County, Massachusetts",1331,49,45,280,49.4,1287,88,0,0,0,0,0,44,0,44,559,41,55,37,67,81,82,99,36,61,496,0,29,0,0,0,0,0,0,0,0,29,34,479,179922,961,45,479,0,42.4000485,42.4000485,SUDBURY,,Sudbury,Sudbury
540,25,17,301102,3,2.50173E+11,Block Group 3,G5030,S,19618295,108692,42.6601279,-71.7374142,G25001703011023,17570.47888,19726991.5,G25001703011023,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3011.02, Middlesex County, Massachusetts",1361,87,200,147,46.7,1329,32,0,0,32,0,0,0,0,0,748,97,53,44,115,49,56,78,155,101,741,0,0,0,0,0,0,0,0,0,0,0,0,533,93021,1103,49,533,0,42.65689547,42.65689547,TOWNSEND,,Townsend,Townsend
541,25,17,368200,2,2.50174E+11,Block Group 2,G5030,S,244465,0,42.3839297,-71.246552,G25001703682002,2416.911624,244465.7597,G25001703682002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3682, Middlesex County, Massachusetts",658,9,82,90,38.5,482,231,59,0,62,0,0,55,46,9,343,31,67,7,50,16,35,85,27,25,305,18,20,0,0,0,0,0,0,0,10,10,0,253,98828,495,48,253,14,42.38392969,42.38392969,WALTHAM,,Waltham,Waltham
542,25,17,330100,2,2.50173E+11,Block Group 2,G5030,S,4709463,52716,42.5674675,-71.0692182,G25001703301002,14202.86368,4762179.978,G25001703301002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3301, Middlesex County, Massachusetts",1731,57,229,239,45.3,1630,101,22,20,27,0,32,0,0,0,908,78,58,84,123,74,214,109,27,141,762,69,33,0,0,0,0,0,0,0,0,33,13,592,93750,1389,81,592,14,42.56757204,42.56757204,NORTH READING,,North Reading,North Reading
543,25,17,363103,1,2.50174E+11,Block Group 1,G5030,S,7205193,559936,42.5001123,-71.4473028,G25001703631031,16309.99056,7765128.999,G25001703631031,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3631.03, Middlesex County, Massachusetts",2162,77,126,199,41.8,1492,670,0,10,645,0,15,0,0,0,887,61,99,65,76,41,157,91,121,176,834,18,35,0,0,0,0,0,0,0,0,35,0,812,121250,1522,86,812,0,42.50177455,42.50177455,ACTON,,Acton,Acton
544,25,17,336300,3,2.50173E+11,Block Group 3,G5030,S,261671,0,42.4571499,-71.0537379,G25001703363003,2774.368699,261673.2688,G25001703363003,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3363, Middlesex County, Massachusetts",782,32,98,80,35.7,719,107,19,0,0,0,0,44,0,44,403,58,54,12,28,19,80,49,96,7,203,24,148,0,0,0,0,0,56,36,49,7,28,336,97768,578,21,336,21,42.45714983,42.45714983,MELROSE,,Melrose,Melrose
545,25,17,356602,3,2.50174E+11,Block Group 3,G5030,S,290042,0,42.4182209,-71.1854419,G25001703566023,2190.758383,290043.6385,G25001703566023,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3566.02, Middlesex County, Massachusetts",832,16,148,87,39.1,707,125,0,0,125,0,0,0,0,0,489,18,7,17,126,8,79,53,71,110,273,49,158,0,0,0,7,0,20,28,45,58,9,299,149028,632,95,299,18,42.4182209,42.4182209,ARLINGTON,,Arlington,Arlington
546,25,17,370300,4,2.50174E+11,Block Group 4,G5030,S,181900,0,42.3690953,-71.162283,G25001703703004,1886.33768,181899.6574,G25001703703004,Massachusetts,Middlesex County,"Block Group 4, Census Tract 3703, Middlesex County, Massachusetts",782,0,231,129,47,770,12,0,0,12,0,0,0,0,0,393,34,13,16,146,8,127,49,0,0,277,50,24,0,0,0,10,0,14,0,0,0,42,446,59583,703,53,446,31,42.36909533,42.36909533,WATERTOWN,,Watertown,Watertown
547,25,17,386100,2,2.50174E+11,Block Group 2,G5030,S,14389723,107503,42.2104803,-71.3682779,G25001703861002,19286.11079,14497223.95,G25001703861002,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3861, Middlesex County, Massachusetts",2203,98,123,353,46.7,2059,160,0,0,128,0,0,16,0,16,921,40,142,24,128,37,128,174,107,141,828,48,31,0,0,0,0,0,0,0,7,24,0,761,164632,1564,92,761,11,42.2150841,42.2150841,SHERBORN,,Sherborn,Sherborn
548,25,17,366202,2,2.50174E+11,Block Group 2,G5030,S,4385582,55320,42.3385721,-71.3492802,G25001703662022,10650.23312,4440901.301,G25001703662022,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3662.02, Middlesex County, Massachusetts",2097,74,102,414,46.3,1863,234,0,0,234,0,0,0,0,0,757,0,34,97,24,127,78,135,174,88,722,0,35,0,0,0,0,9,0,0,0,26,0,767,171007,1525,85,767,14,42.33598495,42.33598495,WAYLAND,,Wayland,Wayland
